"""sepal.""length",sepal.width,petal.length,petal.width,variety
5.1,3.5,1.4,.2,"""Setosa"
4.9,3,1.4,.2,"Setosa"""
4.7,3.2,1.3,.2,"""Setosa"""
4.6,3.1,1.5,.2,"Se""tosa"
5,3.6,1.4,.2,"Se""to""sa"
5.4,3.9,1.7,.4,"Se""""tosa"
4.6,3.4,1.4,.3,"Setosa""""
5,3.4,1.5,.2,Setosa"
4.4,2.9,1.4,.2,"Setosa
4.9,3.1,1.5,.1,"Setosa"
5.4,3.7,1.5,.2,"Setosa"
4.8,3.4,1.6,.2,"Setosa"
4.8,3,1.4,.1,"Setosa"
4.3,3,1.1,.1,"Setosa"
5.8,4,1.2,.2,"Setosa"
5.7,4.4,1.5,.4,"Setosa"
5.4,3.9,1.3,.4,"Setosa"
5.1,3.5,1.4,.3,"Setosa"
5.7,3.8,1.7,.3,"Setosa"
5.1,3.8,1.5,.3,"Setosa"
